,Absolute Energy (kJ/mol) by MMFF94,Absolute Energy (kJ/mol) by GAFF,Relative Energy (kJ/mol) by MMFF94,Relative Energy (kJ/mol) by GAFF
0,209.63316099633465,134.0232469246935,99.33070331769811,50.8471300545492
20,189.90951180331226,121.66154499666148,79.60705412467571,38.48542812651718
40,150.8973995879372,100.6336218193782,40.59494190930066,17.457504949233908
60,124.49448893718737,88.89101456788164,14.192031258550827,5.714897697737342
80,121.09460213221122,87.33650432863057,10.792144453574679,4.1603874584862695
100,130.41794090811058,90.48597188943806,20.115483229474037,7.309855019293764
120,135.95317524874656,92.30956379950511,25.650717570110018,9.133446929360815
140,129.32573649512173,89.79602589063893,19.02327881648519,6.619909020494632
160,116.58026557074533,85.30560562580233,6.2778078921087825,2.1294887556580306
180,110.30245767863654,83.1761168701443,0.0,0.0
200,116.58026557074528,85.3056056258023,6.27780789210874,2.129488755658002
220,129.3257364951218,89.79602589063897,19.023278816485245,6.619909020494674
240,135.95317524874653,92.30956379950514,25.65071757010999,9.133446929360844
260,130.41794090811072,90.4859718894382,20.11548322947418,7.309855019293906
280,121.09460213221121,87.33650432863058,10.792144453574664,4.160387458486284
300,124.49448893718734,88.89101456788164,14.192031258550799,5.714897697737342
320,150.8973995879372,100.63362181937822,40.59494190930066,17.457504949233922
340,189.90951180331226,121.6615449966615,79.60705412467571,38.485428126517206
360,209.63316099633465,134.02324692469352,99.33070331769811,50.847130054549226
