,Absolute Energy (kcal/mol) by MMFF94,Absolute Energy (kcal/mol) by GAFF,Relative Energy (kcal/mol) by MMFF94,Relative Energy (kcal/mol) by GAFF
0,50.103527962795084,32.03232479079672,23.740607867518666,12.152755749175235
20,45.38946266809566,29.07780712157301,19.026542572819242,9.198238079951523
40,36.06534406977467,24.052012863140106,9.702423974498249,4.17244382151862
60,29.754896973515145,21.245462372820658,3.391976878238726,1.365893331199171
80,28.94230452490708,20.873925508754915,2.579384429630661,0.9943564671334286
100,31.170635972301763,21.626666321567413,4.807715877025345,1.7470972799459261
120,32.49358873057996,22.062515248447685,6.13066863530354,2.182946206826198
140,30.909592852562557,21.46176527022919,4.546672757286139,1.5821962286077031
160,27.863352191860738,20.38852906926442,1.5004320965843192,0.5089600276429316
180,26.36292009527642,19.879569041621487,0.0,0.0
200,27.863352191860727,20.38852906926441,1.5004320965843085,0.5089600276429245
220,30.909592852562565,21.4617652702292,4.546672757286146,1.5821962286077138
240,32.49358873057995,22.062515248447692,6.1306686353035325,2.1829462068262053
260,31.1706359723018,21.62666632156745,4.80771587702538,1.7470972799459616
280,28.942304524907076,20.87392550875492,2.5793844296306574,0.9943564671334322
300,29.754896973515137,21.245462372820658,3.3919768782387187,1.365893331199171
320,36.06534406977467,24.05201286314011,9.702423974498249,4.172443821518623
340,45.38946266809566,29.077807121573017,19.026542572819242,9.19823807995153
360,50.103527962795084,32.03232479079673,23.740607867518666,12.152755749175242
